Area (cm2),PCE (%),Stability,Solvent1,Solvent2,Solvent3,Solvent4,ratio1,ratio2,ratio3,ratio4
0.119,24.48,80% 1505 h,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.09,23.18,80% 2000 h,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.07,22.4,90% 500 h,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.09,26.27,90% 2400 h,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.0875,21.67,89.47% 1000 h,DMF,DMSO,,,0.6,0.4,0.0,0.0
0.05,26.9,95% 1200 h,DMF,DMSO,,,0.8275862068965517,0.1724137931034483,0.0,0.0
1.05,21.5,,DMSO,ACN,EtOH,,0.390625,0.5859375,0.0234375,0.0
1.05,19.6,,DMSO,ACN,EtOH,,0.5,0.47,0.03,0.0
0.0576,21.9,90% 1000 h,DMF,DMSO,DMPU,,0.8,0.1699999999999999,0.03,0.0
0.09,24.0,,DMF,DMSO,2MeTHF,,0.8,0.1,0.1,0.0
0.1,26.08,88% 600 h,DMF,DMSO,,,0.8888888888888888,0.1111111111111111,0.0,0.0
0.1,22.41,95% 500 h,DMF,DMPU,,,0.8,0.2,0.0,0.0
0.07,22.0,80% 720 h,DMF,NMP,,,0.9,0.1,0.0,0.0
0.168,22.42,85% 1000 h,TEP(triethyl phosphate),,,,1.0,0.0,0.0,0.0
0.21,25.09,95% 1000 h,GVL,,,,1.0,0.0,0.0,0.0
0.1,2.18,97% 500 h,DMF,NMP,TEA,,0.7619047619047619,0.1904761904761904,0.0476190476190476,0.0
0.096,22.3,85% 1000 h,NMP,2-ME,ACN,,0.08,0.46,0.46,0.0
0.025,17.5,99% 360 h,THF,2-ME,,,0.1,0.9,0.0,0.0
0.16,23.94,95% 1050 h,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.05,20.52,96.75% 300 h,MAAc,,,,1.0,0.0,0.0,0.0
0.094,25.08,90% 700 h,DMA,EtOH,,,0.3333333333333333,0.6666666666666666,0.0,0.0
0.1,20.2,100% 500 h,DMSO,,,,1.0,0.0,0.0,0.0
0.148,19.46,93% 2000 h,DMF,NMP,,,0.0,1.0,0.0,0.0
0.16,24.02,,DMF,DMSO,THF,,0.3333333333333333,0.1666666666666666,0.5,0.0
1.0,13.82,80% 420 h,GVL,MeOH,,,0.0,0.9090909090909092,0.0909090909090909,0.0
0.0435,20.39,,2-ME,NMP,,,0.0,0.7142857142857143,0.2857142857142857,0.0
0.04,23.19,93.4% 1500 h,DMF,DMSO,EtOH,,0.4736842105263157,0.4736842105263157,0.0526315789473684,0.0
0.121,19.4,100% 1272 h,NMP,,,,1.0,0.0,0.0,0.0
0.09,19.39,90% 500 h,DMF,Sulfolane,,,0.2,0.8,0.0,0.0
